,тема,текст
0,шуруповерт,"добрый вечер! подскажите, у вас можно взять в аренду шурповерт?"
1,пылесос,Здравствуйте) сколько стоит аренда строительного пылесоса на сутки?
2,плиткорез ручной,"Доброе утро. Подскажите пожалуйста в какую цену у вас следующие инструменты: плиткорез ручной 60 см, реноватор, вибратор для плитки."
3,фен,Доброе утро Есть строительный фен на аккумуляторной батареи?
4,не вопрос клиента,Добрый день
5,паркетно-шлифовальная машина,Добрый день! хочу обновить деревянный пол на даче. У вас есть циклевочная машина?
6,перфоратор,"Здравствуйте, подскажите, пожалуйста, сколько у вас стоит аренда дрели с микроударом + алмазная коронка на 72 мм, строительный пылесос, штроборез, гвоздезабивной пистолет, перфоратор на сутки?"
7,краскопульт,"Здравствуйте, есть краскопульт для эмали?"
8,лестница,Какая стоимость аренды стремянки ?
9,не вопрос клиента,"Добрый день! Есть склад 300-1000м² в центре СПб. Подходит для хранения товарных запасов — можно разместить и держать длительно. Без интенсивного трафика, доступ 24/7. Если ищете склад — могу отправить информацию."
10,пылесос,Добрый день!  Сколько стоит взять в аренду строительный пылесос на сутки? Спасибо
11,нет такого инструмента,Здравствуйте аргон есть ?
12,машина полировальная,"Добрый день. Есть у вас в аренду полировальная машинка? Если есть, то какая цена в сутки, что в комплекте и какой фирмы/модель"
13,компрессор,"Добрый день! Подскажите, есть ли у вас компрессор в аренду?"
14,сабельная пила,"Здравствуйте,у вас есть сабельная пила?"
15,гвоздезабивной пистолет по бетону,"Здравствуйте, у вас есть монтажный пистолет Toya для электромонтажа? И можно ли будет сегодня его взять в аренду?"
16,пушка газовая,Здравствуйте а сколько стоит аренда газовой пушки большой?
17,газовый баллон,Здравствуйте а сколько стоит аренда газовой с балоном?
18,резчик швов,"Добрый день, ищём кожух для ШВОНАРЕЗЧИКа  GROST FS500 HC. Можно б/у. Может можете предложить? Спасибо."
19,шуруповерт,"Здравствуйте, сколько будет стоить арендовать, шуроповёрт на одни сутки"
20,фен,"Здравствуйте, сколько будет стоить арендовать, строительный фен на одни сутки"
21,пылесос,Доброй ночи. У вас можно взять в аренду строительный пылесос?
22,шуруповерт,"Здравствуйте, меня зовут Александр, просили написать на Авито на прямую по поводу аренды шуруповерта и перфоратора."
23,перфоратор,"Здравствуйте, меня зовут Александр, просили написать на Авито на прямую по поводу аренды шуруповерта и перфоратора."
24,сварочный аппарат,"Здравствуйте, сварочник в аренду по какой цене?"
25,генератор,Здравствуйте  Какая цена аренды генератора ?   Нужен под мойку высокого давления
26,пресс для труб РЕ-Х,Здравствуйте. Интересует аренда  аксиального гидравлического пресса для труб на следующую субботу. Есть у вас такой?
27,сварочный полуавтомат,"Здравствуйте, подскажите пожалуйста, какой у вас полуавтомат , и в какую сумму в аренду на сутки ?"
28,нет такого инструмента,"Здравствуйте, подскажите пожалуйста у вас сварочные аппараты для сварки нержавейки аргоном есть?"
29,дрель-шуруповерт,"добрый день! подскажите пожалуйста, дрель и шуроповерт можно взять в аренду? цена?"
30,пароочиститель,"Добрый день, сколько будет стоить аренда пароочистителя?"
31,пылесос,"Добрый день, сколько будет стоить аренда строительного пылесоса с мешком для мусора?"
32,машина полировальная,Здравствуйте! Хотелось бы арендовать с утра 31.03.2026 на сутки ручную полировочную (шлифмашинку) машинку для полировки кафельной плитки
33,торцовочная пила,Здравствуйте. Сколько у вас стоит взять в аренду торцовку самую маленькую?
34,лобзик,"Добрый вечер, подскажите пожалуйста, мне нужно выпилить квадратное отверстие в столешнице под мойку и под газовую плитку без духовки, у вас есть электрический или ручной лобзик?"
35,торцовочная пила,"Добрый день. Интересует аренда торцовочной пилы, если не сложно дайте информацию по условиям"
36,бензорез,Здравствуйте. Подскажите пожалуйста бензорез у вас есть?
37,газовый баллон,Добрый день  Интересует газовый баллон литров на 8-12  Можно арендовать?
38,нет такого инструмента,"Добрый вечер.  А у вас электроинструменты в аренду есть ?  Пресс клещи, кримпера и тд"
39,не вопрос клиента,Здравствуйте
40,шуруповерт,"Здравствуйте! Нужен шуруповерт, завтра в районе 12"
41,УШМ,"Здравствуйте! Нужна болгарка, завтра в районе 12"
42,бур для перфоратора,"Добрый вечер, у вас есть бур по бетону, 20х600/22х600?"
43,УШМ аккумуляторная,Здравствуйте есть ли у вас УШМ на аккумуляторе?
44,не вопрос клиента,Здравствуйте
45,не вопрос клиента,Добрый вечер. Возможно вас заинтересует покупка Дрель на магнитной станине Milwaukee MDE 42?)
46,пылесос,"Добрый вечер. Скажите, сколько стоит аренда строительного пылесоса(уборка квартиры после установки дверей, подвесных потолков). С доставкой инструмента. Район Адмиралтейский. Ул. Набережная обводного канала."
47,нет такого инструмента,"Добрый вечер. Скажите, сколько стоит аренда робота мойщика окон. С доставкой инструмента. Район Адмиралтейский. Ул. Набережная обводного канала."
48,перфоратор,"Здравствуйте! По чем аренда перфоратора, и есть ли доставка?"
49,пылесос,Здравствуйте! Нужен строительный пылесос на завтра
50,генератор,"Здравствуйте, в какую цену генератор 3 квт"
51,пылесос,Добрый вечер. Что кроме оплаты аренды нужно чтобы оформить аренду строительного пылесоса?
52,нет такого инструмента,"Добрый ,есть аппарат для сварки аргоном?"
53,лобзик,"Добрый вечер, а лобзик есть?"
54,паяльник для ПВХ труб,"Здравствуйте! Скажите, пожалуйста, есть ли у вас в прокате паяльник для сварки полипропиленовых труб и сколько стоит прокат на сутки?"
55,УШМ,"Здравствуйте, мне нужно две болгарки. На 3 дня. Какие условия?"
56,шуруповерт,"Здравствуйте, мне нужно шуруповерт. На 3 дня. Какие условия?"
57,торцовочная пила,"Здравствуйте, мне нужна торцевочная пила. На 3 дня. Какие условия?"
58,перфоратор,"Добрый день, скажите пожалуйста возможно ли у вас взять в аренду перфоратор сегодня на сутки?"
59,УШМ аккумуляторная,"Здравствуйте, у вас есть балгарка аккумуляторная?"
