,Unnamed: 0,тема,текст
0,0,дрель-шуруповерт,"добрый вечер! подскажите, у вас можно взять в аренду шурповерт?"
1,1,пылесос,Здравствуйте) сколько стоит аренда строительного пылесоса на сутки?
2,2,плиткорез ручной,"Доброе утро. Подскажите пожалуйста в какую цену у вас следующие инструменты: плиткорез ручной 60 см, реноватор, вибратор для плитки."
3,3,фен,Доброе утро Есть строительный фен на аккумуляторной батареи?
4,4,не вопрос клиента,Добрый день
5,5,паркетно-шлифовальная машина,Добрый день! хочу обновить деревянный пол на даче. У вас есть циклевочная машина?
6,6,перфоратор,"Здравствуйте, подскажите, пожалуйста, сколько у вас стоит аренда дрели с микроударом + алмазная коронка на 72 мм, строительный пылесос, штроборез, гвоздезабивной пистолет, перфоратор на сутки?"
7,7,краскопульт,"Здравствуйте, есть краскопульт для эмали?"
8,8,лестница,Какая стоимость аренды стремянки ?
9,9,не вопрос клиента,"Добрый день! Есть склад 300-1000м² в центре СПб. Подходит для хранения товарных запасов — можно разместить и держать длительно. Без интенсивного трафика, доступ 24/7. Если ищете склад — могу отправить информацию."
10,10,пылесос,Добрый день!  Сколько стоит взять в аренду строительный пылесос на сутки? Спасибо
11,11,нет такого инструмента,Здравствуйте аргон есть ?
12,12,машина полировальная,"Добрый день. Есть у вас в аренду полировальная машинка? Если есть, то какая цена в сутки, что в комплекте и какой фирмы/модель"
13,13,компрессор,"Добрый день! Подскажите, есть ли у вас компрессор в аренду?"
14,14,сабельная пила,"Здравствуйте,у вас есть сабельная пила?"
15,15,гвоздезабивной пистолет по бетону,"Здравствуйте, у вас есть монтажный пистолет Toya для электромонтажа? И можно ли будет сегодня его взять в аренду?"
16,16,пушка газовая,Здравствуйте а сколько стоит аренда газовой пушки большой?
17,17,газовый баллон,Здравствуйте а сколько стоит аренда газовой с балоном?
18,18,резчик швов,"Добрый день, ищём кожух для ШВОНАРЕЗЧИКа  GROST FS500 HC. Можно б/у. Может можете предложить? Спасибо."
19,19,дрель-шуруповерт,"Здравствуйте, сколько будет стоить арендовать, шуроповёрт на одни сутки"
20,20,фен,"Здравствуйте, сколько будет стоить арендовать, строительный фен на одни сутки"
21,21,пылесос,Доброй ночи. У вас можно взять в аренду строительный пылесос?
24,24,сварочный аппарат,"Здравствуйте, сварочник в аренду по какой цене?"
25,25,генератор,Здравствуйте  Какая цена аренды генератора ?   Нужен под мойку высокого давления
26,26,пресс для труб РЕ-Х,Здравствуйте. Интересует аренда  аксиального гидравлического пресса для труб на следующую субботу. Есть у вас такой?
27,27,сварочный полуавтомат,"Здравствуйте, подскажите пожалуйста, какой у вас полуавтомат , и в какую сумму в аренду на сутки ?"
28,28,нет такого инструмента,"Здравствуйте, подскажите пожалуйста у вас сварочные аппараты для сварки нержавейки аргоном есть?"
